i,centro_x,centro_y,radio,color_r,color_g,color_b
122,62.5,6.5,2.26,107.0,107.0,107.0
123,66.5,6.5,2.26,104.0,104.0,104.0
124,70.5,6.5,2.26,109.0,109.0,109.0
125,74.5,6.5,2.26,112.0,112.0,112.0
126,78.5,6.5,2.26,112.0,112.0,112.0
127,82.5,6.5,2.26,111.0,111.0,111.0
128,86.5,6.5,2.26,109.0,109.0,109.0
129,90.5,6.5,2.26,105.0,105.0,105.0
130,94.5,6.5,2.26,104.0,104.0,104.0
131,98.5,6.5,2.26,101.0,101.0,101.0
132,102.5,6.5,2.26,102.0,102.0,102.0
133,106.5,6.5,2.26,101.0,101.0,101.0
134,110.5,6.5,2.26,101.0,101.0,101.0
135,114.5,6.5,2.26,101.0,101.0,101.0
136,118.5,6.5,2.26,101.0,101.0,101.0
137,122.5,7.0,2.52,102.0,102.0,102.0
138,126.42,6.89,2.46,102.0,102.0,102.0
139,130.69,6.19,2.26,113.0,113.0,113.0
140,135.1,6.1,1.78,153.0,153.0,153.0
141,138.6,6.6,2.19,209.0,209.0,209.0
142,142.5,6.5,2.26,225.0,225.0,225.0
143,158.5,6.5,2.26,237.0,237.0,237.0
144,162.5,6.5,2.26,234.0,234.0,234.0
145,166.5,6.5,2.26,235.0,235.0,235.0
146,170.5,6.5,2.26,236.0,236.0,236.0
147,174.5,6.5,2.26,231.0,231.0,231.0
148,178.5,6.5,2.26,230.0,230.0,230.0
149,194.5,6.5,2.26,214.0,214.0,214.0
150,198.5,6.5,2.26,202.0,202.0,202.0
151,202.5,6.5,2.26,195.0,195.0,195.0
152,210.5,6.5,2.26,131.0,131.0,131.0
153,214.5,6.5,2.26,113.0,113.0,113.0
154,218.5,6.5,2.26,117.0,117.0,117.0
155,222.5,6.5,2.26,117.0,117.0,117.0
156,226.5,7.0,2.52,116.0,116.0,116.0
157,230.5,6.5,2.26,115.0,115.0,115.0
158,234.5,6.5,2.26,110.0,110.0,110.0
159,238.5,6.5,2.26,109.0,109.0,109.0
160,242.5,6.5,2.26,108.0,108.0,108.0
161,246.5,6.5,2.26,111.0,111.0,111.0
162,250.5,6.5,2.26,106.0,106.0,106.0
163,254.5,6.5,2.26,108.0,108.0,108.0
164,258.5,6.5,2.26,107.0,107.0,107.0
165,262.5,6.5,2.26,108.0,108.0,108.0
166,266.5,6.5,2.26,111.0,111.0,111.0
167,270.5,6.5,2.26,104.0,104.0,104.0
168,274.5,6.5,2.26,107.0,107.0,107.0
169,278.5,6.5,2.26,107.0,107.0,107.0
170,282.5,6.5,2.26,112.0,112.0,112.0
171,286.5,6.5,2.26,115.0,115.0,115.0
172,290.5,6.5,2.26,115.0,115.0,115.0
