i,centro_x,centro_y,radio,color_r,color_g,color_b
122,177.5,9.5,3.39,255.0,255.0,255.0
123,183.5,9.5,3.39,255.0,255.0,255.0
124,189.5,9.5,3.39,255.0,255.0,255.0
125,195.5,9.5,3.39,255.0,255.0,255.0
126,201.5,9.5,3.39,255.0,255.0,255.0
127,207.5,9.5,3.39,255.0,255.0,255.0
128,213.5,9.5,3.39,255.0,255.0,255.0
129,219.5,9.5,3.39,254.0,254.0,254.0
130,225.5,9.5,3.39,254.0,255.0,254.0
131,231.5,9.5,3.39,254.0,254.0,254.0
132,237.5,9.5,3.39,254.0,254.0,254.0
133,243.5,9.5,3.39,254.0,254.0,254.0
134,249.5,9.5,3.39,254.0,254.0,254.0
135,255.5,10.0,3.66,254.0,253.0,254.0
136,261.55,10.43,3.87,251.0,253.0,252.0
137,267.5,10.5,3.91,253.0,252.0,250.0
138,273.5,10.5,3.91,253.0,250.0,249.0
139,278.43,11.67,4.48,235.0,213.0,213.0
140,285.59,10.35,3.95,253.0,251.0,250.0
141,297.35,10.27,3.91,252.0,253.0,254.0
142,303.5,9.5,3.39,253.0,253.0,253.0
143,309.5,9.5,3.39,254.0,254.0,254.0
144,315.5,9.5,3.39,254.0,254.0,254.0
145,321.5,9.5,3.39,254.0,254.0,254.0
146,327.5,9.5,3.39,255.0,255.0,255.0
147,333.5,9.5,3.39,255.0,255.0,255.0
148,339.5,9.5,3.39,255.0,255.0,255.0
149,345.5,9.5,3.39,255.0,255.0,255.0
150,351.5,9.5,3.39,255.0,255.0,255.0
151,357.5,9.5,3.39,255.0,255.0,255.0
152,363.5,9.5,3.39,255.0,255.0,255.0
153,369.5,9.5,3.39,255.0,255.0,255.0
154,375.5,9.5,3.39,255.0,255.0,255.0
155,381.5,9.5,3.39,255.0,255.0,255.0
156,387.5,9.5,3.39,255.0,255.0,255.0
157,393.5,9.5,3.39,255.0,255.0,255.0
158,399.5,9.5,3.39,255.0,255.0,255.0
159,405.5,9.5,3.39,255.0,255.0,255.0
160,411.5,9.5,3.39,255.0,255.0,255.0
161,417.5,9.5,3.39,255.0,255.0,255.0
162,423.5,9.5,3.39,255.0,255.0,255.0
163,429.5,9.5,3.39,255.0,255.0,255.0
164,435.5,9.5,3.39,255.0,255.0,255.0
165,441.5,9.5,3.39,255.0,255.0,255.0
166,447.5,9.5,3.39,255.0,255.0,255.0
167,453.5,9.5,3.39,255.0,255.0,255.0
168,459.5,9.5,3.39,255.0,255.0,255.0
169,465.5,9.5,3.39,255.0,255.0,255.0
170,471.5,9.5,3.39,255.0,255.0,255.0
171,477.5,9.5,3.39,255.0,255.0,255.0
172,483.5,9.5,3.39,255.0,255.0,255.0
173,489.5,9.5,3.39,255.0,255.0,255.0
174,495.5,9.5,3.39,255.0,255.0,255.0
175,501.5,9.5,3.39,255.0,255.0,255.0
176,507.5,9.5,3.39,255.0,255.0,255.0
177,513.5,9.5,3.39,255.0,255.0,255.0
178,519.5,9.5,3.39,255.0,255.0,255.0
179,525.5,9.5,3.39,255.0,255.0,255.0
180,531.5,9.5,3.39,255.0,255.0,255.0
181,537.5,9.5,3.39,255.0,255.0,255.0
182,543.5,9.5,3.39,255.0,255.0,255.0
183,549.5,9.5,3.39,255.0,255.0,255.0
184,555.5,9.5,3.39,255.0,255.0,255.0
185,560.5,9.5,2.76,255.0,255.0,255.0
186,291.5,12.0,3.91,252.0,248.0,249.0
187,3.0,15.5,3.66,255.0,255.0,255.0
188,9.5,15.5,3.39,255.0,255.0,255.0
189,15.5,15.5,3.39,255.0,255.0,255.0
190,21.5,15.5,3.39,255.0,255.0,255.0
191,27.5,15.5,3.39,255.0,255.0,255.0
192,33.5,15.5,3.39,255.0,255.0,255.0
193,39.5,15.5,3.39,255.0,255.0,255.0
194,45.5,15.5,3.39,255.0,255.0,255.0
195,51.5,15.5,3.39,255.0,255.0,255.0
196,57.5,15.5,3.39,255.0,255.0,255.0
197,63.5,15.5,3.39,255.0,255.0,255.0
198,69.5,15.5,3.39,255.0,255.0,255.0
199,75.5,15.5,3.39,255.0,255.0,255.0
200,81.5,15.5,3.39,255.0,255.0,255.0
201,87.5,15.5,3.39,255.0,255.0,255.0
202,93.5,15.5,3.39,255.0,255.0,255.0
203,99.5,15.5,3.39,255.0,255.0,255.0
204,105.5,15.5,3.39,255.0,255.0,255.0
205,111.5,15.5,3.39,255.0,255.0,255.0
206,117.5,15.5,3.39,255.0,255.0,255.0
207,123.5,15.5,3.39,255.0,255.0,255.0
208,129.5,15.5,3.39,255.0,255.0,255.0
209,135.5,15.5,3.39,255.0,255.0,255.0
210,141.5,15.5,3.39,255.0,255.0,255.0
211,147.5,15.5,3.39,255.0,255.0,255.0
212,153.5,15.5,3.39,255.0,255.0,255.0
213,159.5,15.5,3.39,255.0,255.0,255.0
214,165.5,15.5,3.39,255.0,255.0,255.0
215,171.5,15.5,3.39,255.0,255.0,255.0
216,177.5,15.5,3.39,255.0,255.0,255.0
217,183.5,15.5,3.39,255.0,255.0,255.0
218,189.5,15.5,3.39,255.0,255.0,255.0
219,195.5,15.5,3.39,255.0,255.0,255.0
220,201.5,15.5,3.39,255.0,255.0,255.0
221,207.5,15.5,3.39,255.0,255.0,255.0
222,213.5,15.5,3.39,254.0,255.0,255.0
223,219.5,15.5,3.39,252.0,253.0,253.0
224,225.5,15.5,3.39,252.0,253.0,253.0
225,231.5,15.5,3.39,253.0,252.0,254.0
226,237.5,15.5,3.39,251.0,252.0,253.0
227,243.5,16.35,3.83,252.0,250.0,251.0
228,249.32,15.71,3.48,249.0,245.0,244.0
229,301.92,15.57,4.03,247.0,230.0,230.0
230,309.53,16.27,3.78,250.0,247.0,246.0
231,315.5,16.0,3.66,251.0,254.0,252.0
232,321.5,15.5,3.39,253.0,253.0,254.0
233,327.5,15.5,3.39,254.0,253.0,254.0
234,333.5,15.5,3.39,254.0,254.0,254.0
235,339.5,15.5,3.39,255.0,255.0,254.0
